"Book","ChapterNum","ChapterHeb","Date"
"דניאל","2","ב׳","5.11.2028"
"דניאל","3","ג׳","6.11.2028"
"דניאל","4","ד׳","7.11.2028"
"דניאל","5","ה׳","8.11.2028"
"דניאל","6","ו׳","9.11.2028"
"דניאל","7","ז׳","12.11.2028"
"דניאל","8","ח׳","13.11.2028"
"דניאל","9","ט׳","14.11.2028"
"דניאל","10","י׳","15.11.2028"
"דניאל","11","י״א","16.11.2028"
"דניאל","12","י״ב","19.11.2028"
"עזרא","1","א׳","20.11.2028"
"עזרא","2","ב׳","21.11.2028"
"עזרא","3","ג׳","22.11.2028"
"עזרא","4","ד׳","23.11.2028"
"עזרא","5","ה׳","26.11.2028"
"עזרא","6","ו׳","27.11.2028"
"עזרא","7","ז׳","28.11.2028"
"עזרא","8","ח׳","29.11.2028"
"עזרא","9","ט׳","30.11.2028"
"עזרא","10","י׳","3.12.2028"
"נחמיה","1","א׳","4.12.2028"
"נחמיה","2","ב׳","5.12.2028"
"נחמיה","3","ג׳","6.12.2028"
"נחמיה","4","ד׳","7.12.2028"
"נחמיה","5","ה׳","10.12.2028"
"נחמיה","6","ו׳","11.12.2028"
"נחמיה","7","ז׳","12.12.2028"
"נחמיה","8","ח׳","13.12.2028"
"נחמיה","9","ט׳","14.12.2028"
"נחמיה","10","י׳","17.12.2028"
"נחמיה","11","י״א","18.12.2028"
"נחמיה","12","י״ב","19.12.2028"
"נחמיה","13","י״ג","20.12.2028"
"דברי הימים א׳","1","א׳","21.12.2028"
"דברי הימים א׳","2","ב׳","24.12.2028"
"דברי הימים א׳","3","ג׳","25.12.2028"
"דברי הימים א׳","4","ד׳","26.12.2028"
"דברי הימים א׳","5","ה׳","27.12.2028"
"דברי הימים א׳","6","ו׳","28.12.2028"
"דברי הימים א׳","7","ז׳","31.12.2028"
"דברי הימים א׳","8","ח׳","1.1.2029"
"דברי הימים א׳","9","ט׳","2.1.2029"
"דברי הימים א׳","10","י׳","3.1.2029"
"דברי הימים א׳","11","י״א","4.1.2029"
"דברי הימים א׳","12","י״ב","7.1.2029"
"דברי הימים א׳","13","י״ג","8.1.2029"
"דברי הימים א׳","14","י״ד","9.1.2029"
"דברי הימים א׳","15","ט״ו","10.1.2029"
"דברי הימים א׳","16","ט״ז","11.1.2029"
"דברי הימים א׳","17","י״ז","14.1.2029"
"דברי הימים א׳","18","י״ח","15.1.2029"
"דברי הימים א׳","19","י״ט","16.1.2029"
"דברי הימים א׳","20","כ׳","17.1.2029"
"דברי הימים א׳","21","כ״א","18.1.2029"
"דברי הימים א׳","22","כ״ב","21.1.2029"
"דברי הימים א׳","23","כ״ג","22.1.2029"
"דברי הימים א׳","24","כ״ד","23.1.2029"
"דברי הימים א׳","25","כ״ה","24.1.2029"
"דברי הימים א׳","26","כ״ו","25.1.2029"
"דברי הימים א׳","27","כ״ז","28.1.2029"
"דברי הימים א׳","28","כ״ח","29.1.2029"
"דברי הימים א׳","29","כ״ט","30.1.2029"
"דברי הימים ב׳","1","א׳","31.1.2029"
"דברי הימים ב׳","2","ב׳","1.2.2029"
"דברי הימים ב׳","3","ג׳","4.2.2029"
"דברי הימים ב׳","4","ד׳","5.2.2029"
"דברי הימים ב׳","5","ה׳","6.2.2029"
"דברי הימים ב׳","6","ו׳","7.2.2029"
"דברי הימים ב׳","7","ז׳","8.2.2029"
"דברי הימים ב׳","8","ח׳","11.2.2029"
"דברי הימים ב׳","9","ט׳","12.2.2029"
"דברי הימים ב׳","10","י׳","13.2.2029"
"דברי הימים ב׳","11","י״א","14.2.2029"
"דברי הימים ב׳","12","י״ב","15.2.2029"
"דברי הימים ב׳","13","י״ג","18.2.2029"
"דברי הימים ב׳","14","י״ד","19.2.2029"
"דברי הימים ב׳","15","ט״ו","20.2.2029"
"דברי הימים ב׳","16","ט״ז","21.2.2029"
"דברי הימים ב׳","17","י״ז","22.2.2029"
"דברי הימים ב׳","18","י״ח","25.2.2029"
"דברי הימים ב׳","19","י״ט","26.2.2029"
"דברי הימים ב׳","20","כ׳","27.2.2029"
"דברי הימים ב׳","21","כ״א","28.2.2029"
"דברי הימים ב׳","22","כ״ב","1.3.2029"
"דברי הימים ב׳","23","כ״ג","4.3.2029"
"דברי הימים ב׳","24","כ״ד","5.3.2029"
"דברי הימים ב׳","25","כ״ה","6.3.2029"
"דברי הימים ב׳","26","כ״ו","7.3.2029"
"דברי הימים ב׳","27","כ״ז","8.3.2029"
"דברי הימים ב׳","28","כ״ח","11.3.2029"
"דברי הימים ב׳","29","כ״ט","12.3.2029"
"דברי הימים ב׳","30","ל׳","13.3.2029"
"דברי הימים ב׳","31","ל״א","14.3.2029"
"דברי הימים ב׳","32","ל״ב","15.3.2029"
"דברי הימים ב׳","33","ל״ג","18.3.2029"
"דברי הימים ב׳","34","ל״ד","19.3.2029"
"דברי הימים ב׳","35","ל״ה","20.3.2029"
"דברי הימים ב׳","36","ל״ו","21.3.2029"
